,volume
2020-03-19,95.6890956497192
2020-04-25,269.47336223602304
2020-06-01,1369.81943909645
2020-06-30,1450.63475351334
2020-08-03,3321.6482035923
2020-08-29,3158.0247837829606
2020-09-27,2918.76140872955
2020-10-25,2609.5375986290005
2021-01-24,124.78457937240601
